SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,6962633,LOS ANGELES,PRIVATE,,LOS ANGELES,"MIRMAN SCHOOL, THE",24,Y,UP-TO-DATE,18,75,
2016-2017,106765,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN JUAN CAPISTRANO,CAPISTRANO CONNECTIONS ACADEMY,270,Y,UP-TO-DATE,204,76,
2016-2017,109793,SUTTER,PUBLIC,MARCUM-ILLINOIS UNION ELEMENTARY,EAST NICOLAUS,SOUTH SUTTER CHARTER,203,Y,OTHERS,154,76,
2016-2017,112748,ORANGE,PUBLIC,CAPISTRANO UNIFIED,SAN JUAN CAPISTRANO,CAPISTRANO VIRTUAL HOME,21,Y,UP-TO-DATE,16,76,
2016-2017,115055,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,RIVER OAK CHARTER,25,Y,UP-TO-DATE,19,76,
2016-2017,127084,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,THOUSAND OAKS,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),29,Y,OTHERS,22,76,
2016-2017,6113039,SONOMA,PUBLIC,SEBASTOPOL UNION ELEMENTARY,SEBASTOPOL,SEBASTOPOL INDEPENDENT CHARTER,29,Y,UP-TO-DATE,22,76,
2016-2017,6119291,TULARE,PUBLIC,TULARE COUNTY OFFICE OF EDUCATION,VISALIA,ELEANOR ROOSEVELT COMMUNITY LEARNING CENTER,25,Y,OTHERS,19,76,
2016-2017,6962419,LOS ANGELES,PRIVATE,,GLENDORA,HOPE LUTHERAN ELEMENTARY,25,Y,UP-TO-DATE,19,76,
2016-2017,112284,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SAN MATEO,60,Y,UP-TO-DATE,46,77,
2016-2017,120493,SAN DIEGO,PUBLIC,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO,MONARCH,22,Y,UP-TO-DATE,17,77,
2016-2017,126151,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,EPIPHANY PREP CHARTER,31,Y,UP-TO-DATE,24,77,
2016-2017,6119564,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,ESCONDIDO,DEHESA CHARTER,86,Y,UP-TO-DATE,66,77,
2016-2017,6962260,LOS ANGELES,PRIVATE,,PACOIMA,GUARDIAN ANGEL ELEMENTARY,22,Y,UP-TO-DATE,17,77,
2016-2017,6978464,SAN LUIS OBISPO,PRIVATE,,PASO ROBLES,SAINT ROSE CATHOLIC SCHOOL,26,Y,OVERDUE,20,77,
2016-2017,7093487,LOS ANGELES,PRIVATE,,VALLEY GLEN,SUMMIT VIEW,26,Y,OTHERS,20,77,
2016-2017,107284,SONOMA,PUBLIC,LIBERTY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SONOMA,51,Y,UP-TO-DATE,40,78,
2016-2017,121608,PLACER,PUBLIC,NEWCASTLE ELEMENTARY,NEWCASTLE,HARVEST RIDGE COOPERATIVE CHARTER/PLACER ACADEMY,39,Y,UP-TO-DATE,31,79,
2016-2017,124651,SACRAMENTO,PUBLIC,SACRAMENTO COUNTY OFFICE OF EDUCATION,SACRAMENTO,FORTUNE,52,Y,UP-TO-DATE,41,79,
2016-2017,125559,LOS ANGELES,PUBLIC,LANCASTER ELEMENTARY,LANCASTER,ILEAD LANCASTER CHARTER,78,Y,UP-TO-DATE,62,79,
2016-2017,129114,HUMBOLDT,PUBLIC,SOUTHERN HUMBOLDT JOINT UNIFIED,MIRANDA,MIRANDA JUNIOR HIGH,71,Y,UP-TO-DATE,56,79,
2016-2017,3731239,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,JULIAN CHARTER,267,Y,UP-TO-DATE,210,79,
2016-2017,6069496,KERN,PUBLIC,KERN COUNTY OFFICE OF EDUCATION,BAKERSFIELD,KERN COUNTY SPECIAL EDUCATION,43,Y,UP-TO-DATE,34,79,
2016-2017,6112627,STANISLAUS,PUBLIC,HICKMAN COMMUNITY CHARTER,HICKMAN,HICKMAN CHARTER,67,Y,UP-TO-DATE,53,79,
2016-2017,112458,TULARE,PUBLIC,ALPAUGH UNIFIED,ALPAUGH,CALIFORNIA CONNECTIONS ACADEMY@CENTRAL,35,Y,UP-TO-DATE,28,80,
2016-2017,114983,SACRAMENTO,PUBLIC,SAN JUAN UNIFIED,ORANGEVALE,GOLDEN VALLEY RIVER,55,Y,UP-TO-DATE,44,80,
2016-2017,129403,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EPIC CHARTER,135,Y,UP-TO-DATE,108,80,
2016-2017,4430179,SANTA CRUZ,PUBLIC,SAN LORENZO VALLEY UNIFIED,FELTON,SLVUSD CHARTER,41,Y,UP-TO-DATE,33,80,
2016-2017,6069199,MERCED,PUBLIC,MERCED COUNTY OFFICE OF EDUCATION,MERCED,MERCED COUNTY SPECIAL EDUCATION,35,Y,UP-TO-DATE,28,80,
